id,name,postcode,lat,lng,geosrc
21609,Greggs,"DE5 3AP",53.050053,-1.404473,fhrs
190578,Greggs,"RH10 1EB",51.115780,-0.185931,fhrs
190242,Greggs,"RH10 1ES",51.114536,-0.186822,fhrs
9797,Greggs,"DE56 1PL",53.023079,-1.481982,fhrs
415793,Greggs,"M2 3LW",53.479061,-2.242054,fhrs
854255,Greggs,"NE24 5JP",55.130257,-1.541461,fhrs
200961,GREGGS,"SA18 3DB",51.792213,-3.988127,fhrs
1075817,Greggs,"BA12 6AQ",51.101402,-2.185926,fhrs
848018,Greggs,"SK4 1TN",53.420380,-2.161354,fhrs
1049433,Greggs,"RM14 2TD",51.558430,0.250535,fhrs
872595,Greggs,"CM20 1HX",51.770554,0.094312,fhrs
283122,Greggs,"RG5 3JH",51.452579,-0.905134,fhrs
672320,Greggs,"B45 9JW",52.393673,-2.018852,fhrs
245453,Greggs,"YO1 8RR",53.959591,-1.081534,fhrs
303658,Greggs,"DL13 4DH",54.745152,-1.814650,fhrs
97849,Greggs,"BL1 1NE",53.577160,-2.428906,fhrs
675435,Greggs,"DN35 8HF",53.559174,-0.030964,fhrs
91708,Greggs,"SK7 1JN",53.356915,-2.165366,fhrs
730921,Greggs,"CO13 9PT",51.833359,1.245314,fhrs
966317,Greggs,"CF71 7AE",51.462170,-3.448403,fhrs
682765,Greggs,"B36 0UG",52.501614,-1.748742,fhrs
354913,Greggs,"LE16 7DR",52.477425,-0.918811,fhrs
62413,Greggs,"SA7 9EH",51.656773,-3.908905,fhrs
648542,Greggs,"IP22 4AD",52.375103,1.109164,fhrs
1150227,Greggs,"NR5 0JT",52.653831,1.180617,fhrs
1150220,Greggs,"NR9 3AU",52.604092,1.219138,fhrs
898393,Greggs,"YO30 4XZ",53.991615,-1.102793,fhrs
811034,Greggs,"BS1 6AH",51.451530,-2.587661,fhrs
537931,Greggs,"HR8 1DS",52.036369,-2.422319,fhrs
864395,Greggs,"BT1 1FD",54.600403,-5.930564,fhrs
461665,Greggs,"S65 1AJ",53.431877,-1.355760,fhrs
967328,Greggs,"CF34 9BT",51.608929,-3.659719,fhrs
1133512,Greggs,"WD19 7DT",51.628109,-0.386162,fhrs
12153,Greggs,"SO23 9JX",51.061714,-1.311858,fhrs
273211,Greggs,"TS10 3FB",54.618015,-1.066384,fhrs
971258,Greggs,"SW1W 9TP",51.492386,-0.148376,fhrs
1085647,Greggs,"EX31 1LP",51.085609,-4.077040,fhrs
24213,Greggs,"LE2 5BF",52.599667,-1.084035,fhrs
627653,Greggs,"PO12 1DS",50.794792,-1.119627,fhrs
1083580,Greggs,"BD19 3QB",53.735249,-1.723424,fhrs
869124,Greggs,"SA6 8PS",51.664066,-3.913955,fhrs
1061473,Greggs,"HP12 4RG",51.618614,-0.784017,fhrs
1416195,Greggs,"B78 3JD",52.627178,-1.700508,fhrs
63732,Greggs,"OL2 8NH",53.577038,-2.093960,fhrs
6974,Greggs,"CR0 2TA",51.378948,-0.103122,fhrs
1097491,Greggs,"EC4N 6AP",51.511372,-0.090263,fhrs
576111,Greggs,"RG30 3UQ",51.426193,-1.034988,fhrs
240979,Greggs,"CV1 1DG",52.406197,-1.513782,fhrs
929765,Greggs,"LN12 1AX",53.341240,0.260531,fhrs
246290,Greggs,"YO1 9UP",53.958733,-1.079388,fhrs
299603,Greggs,"LA12 7AY",54.196014,-3.095780,fhrs
117481,Greggs,"WA14 1RH",53.388039,-2.350199,fhrs
944780,Greggs,"BT13 2JF",54.599831,-5.948050,fhrs
417416,Greggs,"N5 1QJ",51.553833,-0.098466,fhrs
700413,Greggs,"B79 7LG",52.632664,-1.693398,fhrs
671955,Greggs,"B97 4EY",52.306152,-1.943459,fhrs
267253,Greggs,"CA13 9LU",54.663837,-3.365924,fhrs
1017887,Greggs,"SR4 6NQ",54.908550,-1.414196,fhrs
1206894,Greggs,"SY3 0DA",52.681850,-2.761567,fhrs
949416,Greggs,"NE46 4DL",54.979446,-2.090123,fhrs
745549,Greggs,"ME4 4AS",51.382580,0.525067,fhrs
88550,Greggs,"SK6 6AY",53.394711,-2.062925,fhrs
154588,Greggs,"GL5 1AP",51.745350,-2.215819,fhrs
519183,Greggs,"UB11 1AA",51.512394,-0.444384,fhrs
520221,Greggs,"UB10 9PG",51.551296,-0.448653,fhrs
220847,Greggs,"L36 9UQ",53.411274,-2.838973,fhrs
220791,Greggs,"L32 8RD",53.481705,-2.887198,fhrs
694653,Greggs,"SE18 6LQ",51.491638,0.066375,fhrs
943824,Greggs,"NE63 0TQ",55.169910,-1.557396,fhrs
1092387,Greggs,"LE11 2FF",52.754158,-1.198157,fhrs
860975,Greggs,"BT12 6HU",54.580288,-5.965722,fhrs
469121,Greggs,"E8 2JS",51.547539,-0.075797,fhrs
1258342,Greggs,"ST19 5NS",52.716915,-2.118412,fhrs
1257896,Greggs,"WV8 1BX",52.629944,-2.201593,fhrs
373168,Greggs,"RM1 3LD",51.576885,0.183045,fhrs
971503,Greggs,"CV3 2SB",52.397354,-1.433193,fhrs
1406023,GREGGS,"ST5 5BG",53.003262,-2.273581,fhrs
257744,Greggs,"TS7 8DU",54.531906,-1.200059,fhrs
110607,Greggs,"RM9 4SH",51.538929,0.127010,fhrs
114568,Greggs,"RM8 1YT",51.562038,0.123053,fhrs
1073715,Greggs,"WA14 5QQ",53.396477,-2.365502,fhrs
134936,Greggs,"M33 3HE",53.419991,-2.304674,fhrs
785560,Greggs,"E6 1HZ",51.536217,0.051929,fhrs
1215422,Greggs,"AL4 9RB",51.764168,-0.306902,fhrs
1062463,Greggs,"NG17 1BN",53.124947,-1.262190,fhrs
1400399,Greggs,"NG9 3PL",52.961891,-1.264936,onspd
245488,Greggs,"YO31 7UL",53.956753,-1.069877,fhrs
326552,Greggs,"BD4 6SG",53.759819,-1.739589,fhrs
214159,Greggs,"DN15 6LP",53.591160,-0.649750,fhrs
673671,Greggs,"DY10 2AZ",52.388306,-2.248967,fhrs
1381611,Greggs,"SY3 5AD",52.714794,-2.806158,fhrs
326672,Greggs,"LS29 8DA",53.924862,-1.822942,fhrs
268126,Greggs,"CA14 3DZ",54.643520,-3.545904,fhrs
952240,Greggs,"DE74 2TN",52.821720,-1.308172,fhrs
1245288,Greggs,"DN14 7TA",53.744160,-0.857991,fhrs
